date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/29/2021,"Rows","Pendlay Rows4 x 5 *add 5-10# from each set from last weekthen,3x15 Banded Face Pulls 1:00 Rest btw sets",160,"160","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":160},{""success"":true,""load"":160},{""success"":true,""load"":160}]","",RX,
09/29/2021,"Strict Ring Dips","Every 45 seconds until failure:40% of best set from last week [12:00 Cap--16 sets] *ie if your best set from last week was 20, you would do 8 every 45 seconds until failure. Round up.",0,"4","Other / Text","","[{""other"":""4""}]","",RX,
09/29/2021,"Bench Press","4 x 6 (4 count negative)65-75% of 1RMRest as needed between sets",170,"170","Load","","[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":170},{""success"":true,""load"":170}]","",RX,
09/30/2021,"Running","5 Rounds:5:00 ON/1:00 Walk RecoveryAdd 75 sec to PR Mile Pace *ie if your PR mile is 6:00, run at a 7:15 pace",0,"done","Other / Text","","[{""other"":""done""}]","Biked instead of run for knee ",SCALED,
09/30/2021,"Skill Work","Paralette Shoot Throughs4 x 30sec ON/30sec OFF https://www.youtube.com/watch?v=B0kKQs-G6LcStalder Leg Lifts to Plate8 x 20sec ON/10sec OFF (45+25# plate)Accumulate 90sec in Top of Ring Dip1-2 sets of Max Effort Unbroken Double Unders(ie if you have a really good first set, just do one. If you trip early on set one, rest as needed and go for another set)",0,"72/106","Other / Text","","[{""other"":""72/106""}]","PR is 150I was outside on Romwod mat and I feel like jumping on this was harder than just being on the cement",RX,
10/01/2021,"Hang Power Snatch","Every 1:30 x 5 Sets:3 Reps (72.5%)SPEED! Reset at hips btw reps.",145,"145","Load","","[{""success"":true,""load"":145}]","",RX,
10/01/2021,"Hang Power Clean","Every 1:30 x 5 Sets:3 Reps (72.5%)SPEED! Reset at hips btw reps.",205,"205","Load","","[{""success"":true,""load"":205}]","",RX,
10/01/2021,"Speed Pause BS","5 Sets:3 Speed Pause BS*10sec Rest4 Max Distance Broad Jumps**2:00 Rest*Add 5# from last week. Again, 1sec pause in bottom, explode up**Reset between jumps",125,"125","Load","","[{""success"":true,""load"":125}]","",RX,
10/02/2021,"Row Power Output","4 Sets:Hold 90% of your Average Max Power Output from last week for as long as possible2:00 Easy Bike Recovery*ie if your score last week was 3000 cal/hr, you will hold 2700 cal/hr for as long as you can. If you fall under your target speed for more than 3sec, you must stop.",12,"0:12","","","[{""secs"":20,""mins"":0},{""secs"":17},{""secs"":18},{""secs"":12}]","~310090% was 3200 but I wasn’t even close",RX,
10/02/2021,"Team Workout","Team of 2-For Time: (split work however)30 RMU100yd HSW (16 Wall Walks)30 BMU100yd HSW (16 Wall Walks)Indy Version:15 RMU50yd HSW (8 Wall Walks)15 BMU50yd HSW (8 Wall Walks)*Scaling Options: Muscle Ups:a. Jumping Ring/Bar MUb. Strict Ring Pullups/Strict Pullups + Strict Ring Dips (do ring dips for both muscle up sets)",1072,"17:52","","","[{""secs"":52,""mins"":17}]","Liam crushed this.  HSW wasn’t my best today but we got it done.  Needed to commit my hips through more and spend less time kicking up. ",RX,
10/04/2021,"1&1/4 Tempo Front Squat","4 x 5*Add 5-10# to your sets from Week of Sep. 20**Same 3 second negative to each repFor example: Week 1 you did 225-235-245-245If you add 10# to each set, you will be doing 235-245-255-255",160,"160","Load","","[{""success"":true,""load"":160},{""success"":true,""load"":160},{""success"":true,""load"":160},{""success"":true,""load"":160}]","Darn knee",RX,
10/04/2021,"Clean Shrug Pull","5 x 385-90-95-100-100% of 1RM Clean",265,"265","Load","","[{""success"":true,""load"":225},{""success"":true,""load"":240},{""success"":true,""load"":250},{""success"":true,""load"":265},{""success"":true,""load"":265}]","",RX,
10/04/2021,"MONDAY EMOM","25:00 EMOMMin 1) 10 TTB + 50 Double UndersMin 2) 6 Devils Press (50/35)Min 3) 50 HSW (3 WW)Min 4) 10 TTB + 50 Double UndersMin 5) Rest*ScalingTTB/DU: pick a number you normally have no issue going unbroken on both of these that will allow you to finish before 50sec. Another option is to do 10 TTB and then max double unders until 50sec if thats something you need to work on.Devils Press: Scale to 4 reps before you scale weight. If you scale weight, you will do 6 reps. If 6 is no issue for you, work on speed and efficiency today.",1500,"25:00","","","[{""secs"":0,""mins"":25}]","25 hswEverything else RX for 3 rounds then scaled to 4 devils press and about 40-45 double unders",SCALED,
10/05/2021,"Clean Complex","5 Sets:1 Pause Clean (1sec at knee) + 2 CleansRest 1:30-2:00 btw setsSets 1-3: 75%Sets 4-5: 80%",185,"185","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]","",RX,
10/05/2021,"Push Press","6-6-4-4*4sec negative, reset at shoulders (no TnG)85-90-95-95% of 1RM OVERHEAD PRESS",155,"155","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":155},{""success"":true,""load"":155},{""success"":true,""load"":155}]","",RX,
10/05/2021,"Snatch Complex","5 Sets:1 Snatch Shrug Pulls + 2 Snatches (75-80%)Rest 2:00 Btw Sets*No TnG. Reset between sets.",150,"150","Load","","[{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150}]","",RX,
10/06/2021,"Sandbag/Burpee","5 Sets:10 Sandbag Over Shoulder (150/100)15 Bar Facing Burpees1:00 Rest between setsScore is total time",885,"14:45","","","[{""secs"":45,""mins"":14}]","",RX,
10/06/2021,"Bench Press","6-6-4-4 (4sec negative)Rest as needed btw sets 6s: 70-75%4s: 75-80%",195,"195","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":195},{""success"":true,""load"":195}]","",RX,
